x_coor,y_coor,price,bedrooms,bathrooms,sqft_lot,grade,sqft_living15,sqft_lot15
-122.29,47.6597,13.6933429239901,4,2.5,5000,9,1950,5000
-122.114,47.3663,12.586219945654,4,2.5,4495,7,2250,4500
-122.122,47.3663,12.614865543731,3,2.5,4750,8,2690,4750
-122.116,47.588,13.7652693415275,5,3.25,14342,8,2960,11044
-122.149,47.5059,12.9715404876697,4,3,9976,8,2270,8542
-122.339,47.4336,13.3847276418718,3,2.25,21235,8,2570,18900
-122.335,47.4366,12.5741819670946,3,1.75,8400,7,1290,8750
-122.344,47.4428,13.1323137082575,3,1.75,8690,8,2500,9500
-122.32,47.6765,13.2158537204917,3,1.75,1044,8,1580,3090
-122.297,47.6113,12.9598444479066,3,2.25,6000,7,1440,4080
-122.304,47.5747,12.6686267206225,3,2.75,3809,7,1440,4000
-122.192,47.5815,13.79019275,4,2.5,11049,10,2750,11049
-122.257,47.3378,12.5672374947418,4,2.5,4648,7,2221,4557
-122.11,47.3621,12.2258752728264,3,1,12070,7,1010,12635
-122.215,47.6303,14.1006895001979,5,2.25,20158,8,3390,20158
-122.16,47.6525,13.8547312711176,5,3.25,50094,11,3530,38917
-122.179,47.7362,12.6915804613119,3,2,5612,7,1640,4745
-122.287,47.7168,13.2551444886381,4,2,7807,7,1510,7807
-122.036,47.3608,12.7938593104323,4,2.5,5000,8,2420,5000
-122.073,47.3511,12.7628272011846,3,1.75,50529,7,1940,50529
-121.987,47.5822,13.6321885008367,4,4,35102,10,3240,35020
-122.125,47.6034,12.8479265317026,4,1.75,7300,7,1680,7500
-122.394,47.5636,13.0815413828841,3,1,5060,7,890,5060
-122.34,47.7073,12.9239124386805,3,1,5060,7,1130,5693
-122.025,47.342,13.4870064909922,4,2.5,39683,10,3350,39750
-122.008,47.3512,12.8739020181058,3,2.5,5100,8,2350,5363
-122.031,47.349,12.7938593104323,4,2.5,5889,7,1870,6405
-122.291,47.5474,12.7798730684576,2,1,6720,7,1720,6720
-122.149,47.4811,12.7826860098342,3,1.5,8712,8,1850,8797
-122.31,47.7264,12.6603279178078,3,1,6634,6,1570,7203
-122.365,47.6337,13.7536351542462,3,1.5,3600,9,2020,4800
-122.189,47.2909,12.6280670555895,5,2.25,8400,7,1590,8165
-122.199,47.5228,13.0411533219788,3,3.25,6278,9,1900,7349
-122.194,47.518,12.2783933071098,2,2.25,2040,7,1950,2025
-122.387,47.5394,12.7218858108072,2,1.75,1066,7,1030,1106
-122.372,47.2897,12.4028722215048,4,2.5,7403,7,1980,7510
-122.391,47.6506,13.9108207377686,5,2.75,6353,10,2520,6250
-122.351,47.322,11.9381932003746,3,1,10500,7,1350,10500
-122.386,47.687,12.9715404876697,3,1.5,5000,8,1570,4500
-122.386,47.687,13.4588356140255,3,1.5,5000,8,1570,4500
-122.249,47.5873,13.7156902226821,4,2.5,10250,7,1950,6045
-122.277,47.3576,12.4191658609909,3,1.75,15681,7,1750,15616
-122.378,47.3036,12.2010601037066,4,1.5,6400,7,1160,6400
-121.958,47.4109,12.6571482648904,3,1.75,41800,7,1650,135036
-121.714,47.4838,12.9888319847798,3,2.5,36847,9,2550,35065
-122.315,47.6415,13.6539676226175,3,2.5,13241,9,2200,4500
-122.372,47.6775,13.2267233927286,3,2,3478,7,1610,3478
-122.08,47.7731,13.458764182903,3,2.25,107593,8,2570,47777
-122.196,47.5814,13.9016882542053,3,2.5,8113,8,2370,8113
-122.184,47.4375,12.5776362019627,3,1,33919,7,1640,14910
-122.133,47.4431,12.8346813049525,3,2.5,10005,8,2250,8162
-122.38,47.6878,13.0389817684653,3,1,4005,7,1240,4005
-122.322,47.3813,12.1468532858702,2,1.75,2493,8,1270,4966
-122.082,47.7304,13.4298480771523,4,2.5,28037,10,2990,35001
-122.109,47.6417,13.0604879736862,5,1.75,12342,7,2500,9433
-122.053,47.5386,13.3009278853206,4,2.5,9624,8,1940,9636
-122.349,47.6823,13.2533916398107,3,1.75,3328,6,1380,3536
-122.031,47.3624,12.5153938930854,3,1.75,12600,7,1540,11656
-122.295,47.5474,12.7066964068116,3,1.75,5969,7,2090,5500
-122.253,47.3183,13.0815413828841,4,2.5,16171,9,2640,8517
-122.368,47.6981,13.51508091,3,3.5,6350,8,1830,6350
-122.347,47.6824,13.1586953066517,3,3.5,1102,8,1620,3166
-122.248,47.5009,12.2328362827994,2,1,6780,6,1190,6780
-122.303,47.4965,12.0540862885323,4,2,9600,6,1880,9000
-122.294,47.587,13.1900220258781,4,1,2982,7,1610,4040
-122.386,47.7728,13.3999951140026,3,2.5,6474,8,2340,10856
-122.226,47.7288,12.877740794413,3,2,9132,7,1580,9104
-122.364,47.6999,12.8866410438833,2,1,6000,6,1710,6000
-122.266,47.5299,13.0058295611484,4,1.75,4400,7,1850,4400
-122.098,47.6897,13.5541457938299,3,2.25,10204,9,2700,13992
-122.212,47.6141,14.1870741143968,4,2.75,17789,8,3060,11275
-122.244,47.5091,13.0058295611484,3,2.25,8201,8,2660,8712
-122.39,47.3129,12.4684369099977,4,2.25,8811,8,2090,8400
-122.352,47.6763,13.6201037616217,5,3.5,4960,7,1700,4960
-121.85,47.5319,12.9715404876697,4,2.5,4310,7,1970,3748
-122.152,47.2761,12.2643415536542,3,1.75,7875,7,1420,7680
-122.054,47.5343,13.4007524029445,4,2.25,9603,8,2060,9793
-122.072,47.697,13.5721642993325,3,3.5,111078,9,2480,88500
-121.998,47.5517,13.0241903034265,3,2.5,2287,8,1690,1662
-122.38,47.6734,13.4224679698547,4,3.5,2278,9,1540,2285
-122.296,47.3257,12.2010601037066,3,1.75,17390,7,1550,19265
-122.299,47.3309,12.3013828253345,4,1.75,7840,7,1750,8140
-122.266,47.7689,13.0214374588144,4,2.25,10002,8,1550,10436
-122.287,47.7135,12.8544839322487,2,1,4440,6,1060,5715
-122.381,47.6722,13.1614879320884,3,2.25,1249,8,1350,1310
-122.358,47.6338,13.407542319638,2,1,3200,7,1170,3600
-122.128,47.5707,13.1762832193938,5,2.5,9375,8,2820,9375
-122.171,47.4563,12.2307652581205,3,1,8579,7,1610,8579
-122.351,47.7144,12.9480099902596,3,1,8097,7,1560,7940
-122.174,47.5495,13.1223633774043,4,2.25,8517,8,2230,8824
-122.026,47.7421,13.733758056092,4,2.5,315374,9,2840,87991
-122.353,47.6354,13.6989767417083,4,1,4000,8,2200,4000
-121.943,47.5262,12.9715404876697,2,2.5,60984,7,1940,193842
-122.286,47.3887,12.4607148639038,5,2,12500,8,1360,18000
-122.336,47.6873,13.1441248691858,3,1,3455,7,1450,4599
-122.353,47.6838,13.1847182661511,3,2,3090,8,1500,3090
-122.359,47.655,13.2356920627113,3,1,5000,7,1420,5000
-122.304,47.3255,12.5530254825707,3,1,8200,7,1680,8633
-122.3,47.679,12.7656884334656,1,1,5100,7,1010,5100
-122.176,47.4479,12.2783933071098,3,1,7669,7,1190,7669
-122.172,47.525,13.3847276418718,5,3.5,25245,9,2640,13675
-122.369,47.3135,12.6760762747759,4,2.75,7500,8,1980,7875
-121.996,47.2086,12.4171436156101,3,2,7198,7,1160,7198
-122.118,47.4715,12.6760762747759,4,1.75,11180,8,1730,11180
-122.335,47.4877,12.4490188241406,5,2.25,8632,7,1010,11680
-122.193,47.7171,12.9899741893586,3,1.75,9660,7,1200,9660
-122.023,47.6012,13.7101500423064,3,2.5,16603,10,3400,12601
-122.224,47.7319,12.996800154429,3,2.75,7280,7,1710,8152
-122.023,47.4582,12.9480099902596,3,2,38332,7,2110,36590
-122.168,47.7209,12.8212582846204,3,1.75,7000,7,1640,7500
-122.327,47.408,12.5059920356464,2,1.75,7250,5,1830,9750
-122.125,47.565,13.6012028553125,4,2.5,4499,9,2920,4500
-122.231,47.7028,13.3893324082586,3,2.5,9750,8,2480,8750
-122.331,47.7458,12.82530414,3,2,8336,7,1770,7288
-122.337,47.4776,12.5567295171433,3,1.75,21000,7,1070,7920
-122.374,47.3026,12.5135573452781,3,1.75,7140,7,1930,7350
-122.339,47.7658,12.6539584695223,3,1.5,7912,7,1480,7940
-122.182,47.6477,13.7294078589109,4,2.5,35003,10,3740,35230
-122.125,47.5619,13.4195006086269,4,2.25,8190,8,2260,8335
-122.31,47.6106,12.9598444479066,3,2.5,1100,8,1590,1795
-122.308,47.5868,12.899094818277,5,2.75,5400,7,1280,2150
-122.307,47.6101,12.8609986132699,3,1,4800,6,1200,4800
-121.999,47.1976,12.5059920356464,3,1.5,7560,7,1950,8941
-122.358,47.7224,12.7068479334427,2,1,8220,7,1540,8280
-122.179,47.3505,12.4684369099977,3,2.5,5797,7,1670,6183
-122.376,47.5384,13.0604879736862,4,3,5125,7,1410,5375
-122.2,47.7044,13.2861814626337,4,3,9600,7,2290,9600
-122.039,47.3848,12.0045682693194,2,1.5,3419,7,1050,3417
-122.102,47.6993,13.635187003833,4,2.75,13412,9,2260,9984
-122.188,47.6627,13.9108207377686,5,3,12850,10,2540,10270
-122.379,47.3099,12.502466658584,4,1.75,10000,8,2190,8910
-122.043,47.62,13.2356920627113,3,2.5,8744,8,2030,8744
-122.34,47.65,13.3293775467887,4,1,2400,6,1330,4400
-122.153,47.6647,13.2796884421079,3,2.25,10026,8,2230,9340
-122.191,47.726,12.6280670555895,3,1.75,9480,7,1540,8400
-122.184,47.4616,12.0254496453718,3,1,8820,6,1230,7980
-122.219,47.5505,13.5911162247484,3,2.5,9897,8,2680,10083
-122.336,47.7606,12.8992198260901,3,2.5,7508,7,1900,7818
-122.3,47.7481,12.3458345879053,3,1,10228,7,1570,10228
-122.347,47.2779,12.45637601,3,2.5,5025,8,2550,5001
-122.312,47.5511,12.9551274580284,4,2,6480,7,1500,6480
-122.372,47.5488,13.0497926845695,3,2.5,4084,8,1750,2385
-121.911,47.5385,12.9945300058944,3,2.5,66211,7,2330,67268
-121.994,47.4058,12.8609986132699,3,1.75,155073,7,1560,50965
-122.184,47.5093,12.2548628096996,3,1,11725,6,1300,9514
-122.165,47.3777,12.6014874177848,3,2.5,14952,8,2030,10450
-122.394,47.675,13.0604879736862,3,1,5000,7,1680,5000
-122.37,47.3025,12.3305002239052,3,1.5,7370,7,1430,7500
-122.158,47.4787,12.5217953781375,3,1,8450,6,1400,8040
-122.219,47.5378,13.6411571708195,4,1.75,11010,9,2770,10744
-122.114,47.7073,13.4267550634191,3,2.5,4587,8,2750,4587
-122.381,47.5733,12.9598444479066,3,1,5864,7,1290,5000
-122.339,47.4604,12.1021000551472,2,0.75,9600,6,1250,14280
-122.343,47.7067,13.0476398312084,6,3,3404,7,1560,1312
-122.047,47.354,12.6760762747759,4,2.25,7579,8,1630,6397
-122.284,47.6647,13.3463130037527,3,2.25,1566,8,1160,1327
-122.017,47.6143,13.2921061519914,4,2.5,12032,9,2520,12368
-122.275,47.3185,13.0497926845695,3,2.5,17936,9,2590,18386
-122.268,47.5458,13.0752717698705,4,2.75,6270,8,2130,8700
-122.299,47.4889,12.5425448821514,2,1,16400,6,1100,14459
-122.21,47.5673,14.2276202087911,5,3,33474,9,3836,20953
-122.379,47.5133,13.0077109363191,3,2.5,5692,8,1320,5390
-122.291,47.5884,13.8831692064381,2,2.25,14864,8,2580,5184
-122.367,47.7145,13.054084536651,2,1.5,10800,8,2120,12040
-122.026,47.5836,13.438632906708,4,2.5,6440,10,3070,8127
-122.299,47.398,12.542366294777,3,2,9750,7,1900,10125
-122.215,47.7663,13.1749558275235,4,2.25,19436,8,1910,10055
-122.217,47.3758,12.6915804613119,3,2.25,16020,8,2080,9583
-122.023,47.3828,12.7007688873663,3,2.25,8379,7,2020,8031
-122.373,47.5123,12.8739020181058,3,2.25,7500,7,1280,7392
-122.013,47.7076,13.0814372107917,2,2,6516,8,1640,6009
-122.371,47.2922,12.4872964079209,4,2.25,9753,7,1510,9753
-122.214,47.4075,12.3673407931263,3,1,15246,7,1960,13068
-122.034,47.6794,13.1548305675418,3,2.5,4729,7,2250,4729
-122.375,47.4497,13.3923905146174,2,1.75,15798,7,2030,13193
-122.164,47.5218,13.1223633774043,4,2.75,15347,7,2280,15347
-122.339,47.3103,12.6603279178078,6,2.75,7350,8,2120,8236
-121.899,47.5687,12.2690474446916,2,1,10200,6,1150,13702
-122.303,47.5575,13.0710700830168,3,1.5,5280,7,2090,4800
-122.183,47.6489,13.8450693602058,5,4,28040,10,3430,35096
-121.95,47.3459,12.9384405392434,3,2,94300,7,2070,80100
-122.303,47.6136,12.9239124386805,4,1,4740,7,1510,4740
-122.023,47.7641,13.5923670066501,3,3.5,221284,10,2920,148539
-122.324,47.3376,13.0647342645677,6,2.5,14034,9,2600,13988
-122.319,47.3173,12.3238556811866,3,1.75,8505,7,1190,8640
-122.376,47.5308,12.2548628096996,2,1,6000,6,830,4960
-122.299,47.6727,13.0280526979331,2,1,5000,7,1450,3750
-122.216,47.3221,12.3238556811866,3,1,8316,6,1260,8316
-122.353,47.6779,13.0815413828841,2,1,3060,7,1390,3060
-122.395,47.3076,12.802158113247,3,2.5,11872,9,2570,10377
-122.357,47.5218,12.106252310248,2,1.5,5120,6,1150,2566
-122.213,47.2785,12.4292161968444,4,2,7312,7,2010,7650
-122.345,47.6846,13.0836225490879,3,1.75,3000,6,1390,3000
-122.278,47.3656,12.4684369099977,3,2,7209,7,1750,7209
-122.111,47.4369,13.0280526979331,4,2.5,7685,9,3060,6567
-121.711,47.4616,12.9360337992128,3,2.25,36224,8,1730,36224
-122.27,47.5405,12.764258840656,3,1,3538,7,1620,6331
-122.178,47.3507,12.4090134895269,3,2.5,7442,7,1630,6458
-122.32,47.6979,13.2921061519914,2,2,9191,7,1420,6816
-122.345,47.5278,12.8609986132699,4,1.75,7620,7,1910,7620
-122.147,47.4756,12.6603279178078,3,1.75,11455,7,1550,10650
-121.772,47.4437,12.4490188241406,3,1,10170,7,1380,10098
-122.109,47.7048,13.448785278172,4,2.5,4425,8,2990,5659
-122.302,47.6362,13.5670491986658,3,1,4400,8,1660,4400
-122.29,47.4207,12.3758154201173,3,1.75,8470,7,1600,8470
-122.047,47.6154,13.1711535415738,3,2.25,40510,10,2380,33450
-122.299,47.5964,12.9598444479066,2,1,5040,5,1330,2580
-122.438,47.4683,12.8209879778205,1,0.75,10079,5,1230,14267
-122.171,47.4045,12.5776362019627,4,2.5,7280,7,1950,7475
-122.358,47.5544,12.5602444592508,3,1,10701,7,1130,6350
-122.29,47.6802,12.9360337992128,2,1,4500,7,1320,4465
-122.371,47.2988,12.5153938930854,3,2.5,9900,8,2070,8250
-122.042,47.7285,14.1303212978043,4,4.75,57346,11,4180,47443
-122.352,47.7107,12.9853975223312,2,1,7538,7,1440,7530
-122.323,47.3271,12.2548628096996,3,1,11390,7,1350,8164
-122.255,47.5053,12.3715870840077,3,1,5898,7,1320,7619
-122.4,47.6601,12.7098736543592,3,1.75,1306,7,1440,2225
-122.166,47.4145,12.8076526325646,3,2.5,4510,8,2653,4927
-122.165,47.4672,13.0170028617465,3,2,16258,8,1660,10530
-122.261,47.7618,13.5541457938299,4,2.75,26300,9,1860,12136
-122.071,47.3828,13.0280526979331,4,2.5,49375,8,2670,49385
-122.268,47.5362,12.9116423460887,3,1.75,6000,6,2020,6000
-122.206,47.3954,12.6277391329763,4,1.75,11325,7,1720,11088
-122.272,47.5048,12.0435537160324,2,1,5265,6,1650,8775
-122.025,47.6811,13.5670491986658,4,2.5,7048,9,3920,7864
-122.23,47.7486,12.7068479334427,3,3,13959,8,2570,13300
-122.169,47.3846,12.8212582846204,4,2.5,8666,9,2410,8100
-122.144,47.7564,13.054084536651,5,2.25,13500,7,2300,9750
-122.193,47.7198,12.9116423460887,3,1.75,6720,7,1670,7320
-122.151,47.5461,13.4224679698547,5,2.25,10300,8,2310,10300
-122.143,47.5712,13.1223633774043,2,1,14100,7,1520,13527
-122.343,47.4281,12.87389945,4,2.5,15770,7,2410,15256
-122.223,47.7128,13.3534750983677,4,1.75,9025,8,2120,9600
-122.255,47.3341,12.7938593104323,4,2.5,9528,9,2280,9937
-122.181,47.5399,13.2707833825226,4,3,11060,8,2320,11004
-122.375,47.5717,13.2176735572087,3,2,4166,8,2390,4166
-122.017,47.5951,13.6865401766673,4,2.5,22111,10,3150,11374
-122.144,47.3536,12.4874851049684,3,2,8959,7,1740,7316
-122.154,47.5084,13.0091946792987,3,2.5,7286,8,2400,7220
-122.311,47.5586,12.9091701569433,3,1.5,8880,7,2140,5592
-122.274,47.4427,12.4968748453182,3,1.75,11914,7,1630,9052
-122.301,47.3494,12.7218858108072,3,2.5,7632,8,2510,7903
-122.393,47.6933,13.263862939678,3,2.5,9000,7,2190,7310
-122,47.3537,12.2483320065441,3,2.5,3810,8,2370,4590
-122.337,47.476,12.6603279178078,3,2.25,8750,7,1460,10139
-122.298,47.6239,13.4939269338368,3,1.75,3300,8,1740,4000
-122.384,47.7776,13.2176735572087,4,2.75,7750,8,1800,8275
-122.058,47.6459,13.32244299,4,2.25,7297,8,2250,9781
-122.297,47.6692,13.2189454752506,2,1,5000,6,1460,5000
-122.18,47.5376,13.407542319638,4,2.75,10574,8,2720,8330
-122.294,47.601,13.6339886813409,4,2.5,4000,8,2440,5750
-121.837,47.529,12.2110601870412,5,1.75,78408,6,1660,78408
-122.102,47.5503,14.1375940571334,4,3.25,12103,11,3860,11244
-122.102,47.5503,14.1519827945855,4,3.25,12103,11,3860,11244
-122.125,47.4441,12.6280670555895,4,2.25,7700,8,2150,7350
-122.333,47.7357,13.0960194020647,3,2,14052,8,1570,8162
-122.157,47.346,12.8739020181058,3,2.5,64904,8,2350,57500
-122.345,47.6638,13.2140305659302,2,1,3864,7,1570,3864
-122.336,47.48,12.501536858424,4,1,8775,6,1310,8775
-122.151,47.6759,13.6169376605843,5,2.75,7119,9,1560,8384
-122.057,47.5162,13.1615840905576,3,2.25,16200,8,2660,17958
-122.252,47.2639,12.3458345879053,3,2,11204,7,1520,9518
-122.371,47.2929,12.3883942023241,3,1.75,10248,7,1510,9753
-122.352,47.4957,12.3544926506484,2,1,12092,6,1820,7460
-122.352,47.4957,12.390475368528,2,1,12092,6,1820,7460
-122.093,47.7721,12.5244354634253,3,2.5,45004,9,3080,35781
-122.319,47.644,13.5144054651804,4,2,4400,9,2320,5500
-122.344,47.472,12.135516052067,3,1,7636,7,1150,7600
-122.166,47.592,13.5797882244432,3,2.25,10289,9,2500,10004
-122.275,47.669,13.6876771864544,4,3.5,6750,9,2370,6120
-122.323,47.42,12.5389670608035,6,1.75,11180,7,1590,7955
-122.012,47.1913,12.594730635322,3,2,10530,8,1910,10450
-122.331,47.6666,13.3692234553359,2,1,5000,7,1710,5000
-122.217,47.5639,13.7536351542462,4,2,9525,9,2770,9525
-122.052,47.3483,12.4684369099977,4,2.5,5238,7,1800,5894
-122.164,47.7648,13.235513475337,3,2.75,5569,9,2580,11045
-122.357,47.6794,13.5816851583032,4,2,3500,7,1820,3750
-122.354,47.7535,12.4874851049684,3,1.75,8250,7,1740,8000
-122.22,47.4945,12.4090134895269,3,1.75,11547,7,880,78408
-122.093,47.6945,13.0919041699196,4,1.75,43995,7,2560,14764
-122.157,47.5222,13.4357131966047,4,3.5,8414,9,3470,8066
-122.32,47.7222,12.9598444479066,3,1.75,6840,8,1580,8691
-122.49,47.3796,12.6430364206977,4,1.75,20000,6,1660,20000
-121.875,47.5374,13.2217561212824,4,2.5,5823,8,2380,5823
-122.24,47.4897,12.0137007528827,4,1,7134,6,1020,7138
-122.24,47.4897,12.3879774488278,4,1,7134,6,1020,7138
-122.078,47.4716,12.6760762747759,2,1,32633,6,1360,32156
-122.173,47.3581,12.2385398356677,3,2,13464,7,1720,12080
-122.307,47.7713,12.8661799720119,4,1.75,7690,7,2040,8646
-121.854,47.675,12.6081988523728,1,0.75,12120,4,1300,19207
-122.222,47.5603,13.6588567479189,4,2.75,10460,9,2610,10180
-122.337,47.4147,12.6603279178078,3,1,14400,7,1940,14400
-122.353,47.68,12.9888319847798,2,1,3120,7,1930,3120
-122.27,47.3117,12.4371843664936,4,1.5,19800,7,1640,22654
-122.28,47.543,12.8346813049525,4,1.75,7475,7,1600,5766
-122.034,47.3607,12.6115377536383,4,2.5,4862,7,2010,5091
-122.137,47.5759,12.9480099902596,4,1,9600,7,1750,10530
-122.159,47.6891,13.7101500423064,3,1,77972,7,1340,17689
-122.381,47.565,13.4297010075146,3,2.5,5750,9,1520,5750
-121.974,47.6359,13.0454823330684,3,2.5,29970,7,1580,28399
-122.141,47.4769,12.8479265317026,5,2.5,11340,9,2470,11340
-122.029,47.3845,12.7053316329247,4,2.5,7912,7,1820,8168
-122.184,47.6743,13.3129010889696,3,2.5,5608,8,2040,9363
-122.164,47.5651,13.5860973936365,5,2.5,9570,8,2920,8800
-121.709,47.4853,13.0497926845695,3,2,40438,7,1380,44049
-122.359,47.4508,13.4195006086269,4,2.5,10400,9,2140,17449
-122.016,47.6375,13.6047895266486,4,2.5,15420,10,3400,21455
-122.042,47.5944,13.5734389967645,4,2.75,69415,8,2770,24361
-122.182,47.4888,12.7308011744652,4,3,7500,7,1810,7650
-122.19,47.5112,12.5425448821514,3,2.25,7222,7,1430,7220
-122.341,47.7711,12.6603279178078,4,2.25,10754,7,1810,6929
-122.341,47.7711,13.1806322855283,4,2.25,10754,7,1810,6929
-122.345,47.2813,12.8479265317026,5,3,9914,9,2860,9721
-122.189,47.5038,12.6014874177848,3,2.25,7562,7,1650,7625
-121.97,47.5823,13.5007998131246,4,2.5,7331,10,3480,7447
-122.304,47.7164,13.0170028617465,3,1.75,13500,7,1770,12600
-122.045,47.3624,12.5245263766487,3,3,7750,7,1680,7500
-122.329,47.6831,13.2963166845278,4,2,2849,7,1910,3120
-122.307,47.592,12.9831013100708,3,1.5,3348,7,1590,2577
-122.195,47.7461,12.5061772379805,2,1.5,209959,6,3130,19868
-122.06,47.7268,13.7642172635767,3,3,14338,10,3360,14142
-121.959,47.7237,12.8713346226006,4,2.25,5337,7,2300,6930
-122.095,47.6283,13.2356920627113,4,2.25,7800,8,2420,8050
-122.148,47.5543,14.1156151504146,5,3.5,14984,11,4050,19009
-122.226,47.5483,13.5911162247484,4,2.25,11585,8,2450,9691
-122.146,47.7591,12.809021558172,3,2,9600,7,1410,9600
-122.169,47.4612,12.4385722917684,3,2,7352,7,1710,7350
-122.365,47.4987,12.9090463869079,4,2.5,13780,8,1880,12000
-122.358,47.772,12.8609986132699,4,1.5,10726,7,1610,10020
-122.35,47.5287,12.7512996960135,4,1,7620,7,1450,7620
-122.114,47.6109,13.1021606700868,3,2.75,3128,9,1950,2856
-121.901,47.7736,12.7068479334427,3,2.5,26977,8,1790,27743
-122.218,47.6294,13.739708844548,4,2.75,12090,8,3180,12239
-122.213,47.5634,13.9288392432713,4,2.5,16619,10,3600,16553
-122.241,47.7405,12.7068479334427,2,1,10000,7,2000,9600
-122.118,47.5976,13.1806322855283,5,2.25,8800,7,2110,8800
-122.129,47.5722,12.8076526325646,4,2,25600,8,2000,10071
-122.289,47.5644,12.8446316358057,3,2.5,3000,7,1060,3500
-122.157,47.4556,12.5058067990061,4,1.75,8750,7,1390,8750
-122.305,47.6055,13.2303205189094,3,3.5,2096,8,1630,1543
-122.022,47.1775,12.7938593104323,4,1.75,16980,7,1880,16963
-122.385,47.6879,12.7713864545802,2,1,5000,7,1560,4500
-121.779,47.4807,12.9876884740777,3,2.5,22357,8,2430,22357
-122.032,47.3845,12.683858415218,4,2.5,6753,7,1820,7107
-122.402,47.5815,13.3847276418718,3,3.25,2000,9,1510,1352
-122.344,47.6609,13.0170028617465,3,2,1213,8,1290,3235
-122.188,47.3163,12.5371733383495,3,2,5250,7,1570,5250
-122.191,47.4309,12.8075156368798,4,2.5,6957,8,2090,6996
-122.026,47.401,13.6411571708195,4,3.5,40139,10,3180,36852
-122.191,47.404,12.498742259493,3,2.5,8134,7,1550,8134
-122.482,47.3889,13.1568305024466,2,1,143947,5,1380,143947
-122.095,47.7718,13.3581072106943,3,2.5,32239,8,2990,36497
-122.2,47.7067,13.2664637213781,3,2.5,7251,9,2450,8118
